JL	Control_1	Control_2	Control_3
ENST00000631435	0	0	0	0
ENST00000415118	0	0	0	0
ENST00000448914	0	0	0	0
ENST00000434970	0	0	0	0
ENST00000439842	0	0	0	0
ENST00000390567	0	0	0	0
ENST00000452198	0	0	0	0
ENST00000390569	0	0	0	0
ENST00000437320	0	0	0	0
ENST00000390571	0	0	0	0
ENST00000390572	0	0	0	0
ENST00000390574	0	0	0	0
ENST00000390575	0	0	0	0
ENST00000390577	0	0	0	0
ENST00000431870	0	0	0	0
ENST00000450276	0	0	0	0
ENST00000390578	0	0	0	0
ENST00000451044	0	0	0	0
ENST00000390580	0	0	0	0
ENST00000390581	0	0	0	0
ENST00000431440	0	0	0	0
ENST00000390583	0	0	0	0
ENST00000633210	0	0	0	0
ENST00000603693	0	0	0	0
ENST00000604838	0	0	0	0
ENST00000604446	0	0	0	0
ENST00000604102	0	0	0	0
ENST00000603935	0	0	0	0
ENST00000632911	0	0	0	0
ENST00000633504	0	0	0	0
ENST00000632304	0	0	0	0
ENST00000632542	0	0	0	0
ENST00000633353	0	0	0	0
ENST00000631803	0	0	0	0
ENST00000632828	0	0	0	0
ENST00000632422	0	0	0	0
ENST00000632713	0	0	0	0
ENST00000633384	0	0	0	0
ENST00000631557	0	0	0	0
ENST00000632308	0	0	0	0
ENST00000632512	0	0	0	0
ENST00000632016	0	0	0	0
ENST00000631427	0	0	0	0
ENST00000632148	0	0	0	0
ENST00000631392	0	0	0	0
ENST00000633472	0	0	0	0
ENST00000631882	0	2	6	0
ENST00000634123	0	0	0	0
ENST00000633328	0	0	0	0
ENST00000632248	0	0	0	0
ENST00000634176	0	0	0	0
ENST00000633575	0	0	0	0
ENST00000633072	0	0	0	0
ENST00000633313	0	0	0	0
ENST00000633696	0	0	0	0
ENST00000633963	0	0	0	0
ENST00000632187	0	0	0	0
ENST00000631511	0	0	0	0
ENST00000633265	0	0	0	0
ENST00000632216	0	0	0	0
ENST00000632425	0	0	0	0
ENST00000631548	0	0	0	0
ENST00000633790	0	0	0	0
ENST00000634093	0	0	0	0
ENST00000632560	0	0	0	0
ENST00000631639	2	0	0	0
ENST00000632021	1	0	0	0
ENST00000633796	1	0	0	0
ENST00000631471	0	0	0	0
ENST00000634111	0	0	0	0
ENST00000633292	0	0	0	0
ENST00000631824	5	24.097	0	4.001
ENST00000632829	0	0	0	0
ENST00000632432	0	0	0	0
ENST00000631835	0	0	0	0
ENST00000633244	0	0	0	0
ENST00000631663	0	0	0	0
ENST00000631559	0	0	0	0
ENST00000632638	0	0	0	0
ENST00000633466	0	0	0	0
ENST00000633842	0	0	0	0
ENST00000633092	0	0	0	0
ENST00000610439	0	0	0	0
ENST00000633283	0	0	0	0
ENST00000619125	0	0	0	0
ENST00000634198	0	0	0	0
ENST00000631690	0	0	0	0
ENST00000379435	0	0	0	0
ENST00000390344	4	8	7	0
ENST00000426402	0	0	0	0
ENST00000390341	0	0	0	0
ENST00000390343	0	10	0	6
ENST00000390346	0	0	0	0
ENST00000444775	0	0	0	2
ENST00000390345	0	0	0	0
ENST00000390348	0	0	0	0
ENST00000390340	0	0	0	0
ENST00000542354	0	0	0	0
ENST00000390423	0	0	0	0
ENST00000390424	0	0	0	0
ENST00000390425	0	0	0	0
ENST00000390426	0	0	0	0
ENST00000390427	0	0	0	0
ENST00000390428	0	0	0	0
ENST00000390429	0	0	0	0
ENST00000390430	0	0	0	0
ENST00000390431	0	0	0	0
ENST00000390432	0	0	0	0
ENST00000390433	0	0	0	0
ENST00000390434	0	0	0	0
ENST00000390435	0	0	0	0
ENST00000390436	0	0	0	0
ENST00000390437	0	0	0	0
ENST00000390438	0	0	0	0
ENST00000390439	0	0	0	0
ENST00000390440	0	0	0	0
ENST00000390441	0	0	0	0
ENST00000390442	0	0	0	0
ENST00000390443	0	0	0	0
ENST00000390444	0	0	0	0
ENST00000390445	0	0	0	0
ENST00000390446	0	0	0	0
ENST00000390447	0	0	0	0
ENST00000390448	0	0	0	0
ENST00000390449	0	0	0	0
ENST00000390450	0	0	0	0
ENST00000390451	0	0	0	0
ENST00000390452	0	0	0	0
ENST00000621643	0	0	0	0
ENST00000390453	0	0	0	0
ENST00000390454	0	0	0	0
ENST00000390455	0	0	0	0
ENST00000390456	0	0	0	0
ENST00000390457	0	0	0	0
ENST00000390458	0	0	0	0
ENST00000557168	0	0	0	0
ENST00000390466	0	0	0	0
ENST00000390461	0	0	0	0
ENST00000390467	0	0	0	0
ENST00000390464	0	0	0	0
ENST00000390468	0	0	0	0
ENST00000390465	0	0	0	0
ENST00000390460	0	0	0	0
ENST00000535880	0	0	0	0
ENST00000390469	0	0	0	0
ENST00000390463	0	0	0	0
ENST00000455382	0	0	0	0
ENST00000390357	0	0	0	0
ENST00000634605	0	0	0	0
ENST00000390360	0	0	0	0
ENST00000390361	0	0	0	0
ENST00000390362	0	0	0	0
ENST00000390363	0	1	0	0
ENST00000426318	0	0	0	0
ENST00000390369	0	0	0	0
ENST00000454561	0	0	0	0
ENST00000390371	0	0	0	0
ENST00000390372	0	0	0	0
ENST00000390373	0	0	0	0
ENST00000390374	0	0	0	0
ENST00000390376	0	0	0	0
ENST00000612787	0	0	0	0
ENST00000611462	0	0	0	0
ENST00000617347	0	4.903	9	1.999
ENST00000621184	0	0	0	0
ENST00000619103	0	0	0	0
ENST00000611520	0	0	0	0
ENST00000390393	0	0	0	0
ENST00000390394	0	0	0	0
ENST00000390397	0	0	0	0
ENST00000390398	0	0	0	0
ENST00000417977	0	0	0	0
ENST00000610808	0	0	0	0
ENST00000522175	0	0	0	0
ENST00000519951	0	0	0	0
ENST00000424348	0	0	0	0
ENST00000502411	0	0	0	0
ENST00000496692	0	0	0	0
ENST00000466542	0	0	0	0
ENST00000465075	0	0	0	0
ENST00000473530	0	0	0	0
ENST00000473712	0	0	0	0
ENST00000482226	0	0	0	0
ENST00000467903	1	0	0	0
ENST00000507374	0	0	0	0
ENST00000508651	0	0	0	0
ENST00000611236	0	0	0	0
ENST00000543859	7	0	0	0
ENST00000523857	0	0	0	0
ENST00000521053	0	0	0	0
ENST00000430863	0	0	0	0
ENST00000521161	0	0	0	0
ENST00000621837	0	0	0	0
ENST00000570683	0	0	0	0
ENST00000573400	0	0	0	0
ENST00000591655	0	0	0	0
ENST00000611850	0	0	0	0
ENST00000588823	0	0	0	0
ENST00000579578	0	0	0	0
ENST00000586762	0	0	0	0
ENST00000631283	0	0	0	0
ENST00000419783	10462.167	19025.528	22646.03	15357.65
ENST00000419349	46.738	110.88	75.225	56.066
ENST00000643797	69.122	106.173	38.052	39.129
ENST00000646881	0	36.779	0	7.897
ENST00000496791	4.06	0	0	7.206
ENST00000651740	0	0	10.755	0
ENST00000651279	0	0	1.439	0
ENST00000620890	5.369	29.514	17.341	4.743
ENST00000553483	0	0	0	0
ENST00000626647	0	0	0	0
ENST00000534447	44.009	0	0	0
ENST00000534142	0	0	0	0
ENST00000533478	401.689	0	0	0
ENST00000525539	0	0	0	0
ENST00000530363	35.65	0	0	0
ENST00000299598	24.864	0	0	0
ENST00000529079	0	0	0	0
ENST00000531391	196.95	5	19.831	1.448
ENST00000526632	0	0	0	0
ENST00000527937	164.346	0	4.169	11.552
ENST00000529791	15.607	0	0	0
ENST00000337114	0	0	0	0
ENST00000402588	0	163.01	0	1.189
ENST00000634759	71.716	0	27.714	0
ENST00000621118	0	0	0	0
ENST00000446393	0	0	0	0
ENST00000641506	0	0	0	0
ENST00000641557	0	0	0	0
ENST00000641057	0	0	0	0
ENST00000429239	0	0	0	0
